year,risk,
      0,                  0.10328,
      1,                  0.04999,
      2,                  0.04999,
      3,                  0.04999,
      4,                  0.04999,
      5,                  0.04999,
      6,                  0.04999,
      7,                  0.04999,
      8,                  0.04999,
      9,                  0.04999,
     10,                  0.04999,
     11,                  0.04999,
     12,                  0.04999,
     13,                  0.04999,
     14,                  0.04999,
     15,                  0.04999,
     16,                  0.04999,
     17,                  0.04999,
     18,                  0.04999,
     19,                  0.04999,
     20,                  0.04999,
     21,                  0.04999,
     22,                  0.04999,
     23,                  0.04999,
     24,                  0.04999,
     25,                  0.04999,
     26,                  0.04999,
     27,                  0.04999,
     28,                  0.04999,
     29,                  0.04999,
     30,                  0.04999,
